instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,registered,cnt
2918,5/6/11,2,0,5,11,0,5,1,2,0.54,0.5152,0.49,0.3284,123,165
2919,5/6/11,2,0,5,12,0,5,1,1,0.56,0.5303,0.49,0.3582,198,246
2920,5/6/11,2,0,5,13,0,5,1,1,0.58,0.5455,0.4,0.3284,182,253
2921,5/6/11,2,0,5,14,0,5,1,1,0.6,0.6212,0.4,0.4478,127,213
2922,5/6/11,2,0,5,15,0,5,1,1,0.6,0.6212,0.38,0.3881,171,260
2923,5/6/11,2,0,5,16,0,5,1,1,0.6,0.6212,0.4,0.2537,262,344
2924,5/6/11,2,0,5,17,0,5,1,1,0.58,0.5455,0.4,0.3582,470,553
2925,5/6/11,2,0,5,18,0,5,1,3,0.54,0.5152,0.52,0.3582,385,470
2926,5/6/11,2,0,5,19,0,5,1,3,0.54,0.5152,0.52,0.3582,253,292
2927,5/6/11,2,0,5,20,0,5,1,1,0.52,0.5,0.48,0.1045,161,190
2928,5/6/11,2,0,5,21,0,5,1,1,0.48,0.4697,0.67,0.1343,130,152
2929,5/6/11,2,0,5,22,0,5,1,1,0.46,0.4545,0.72,0.2239,105,151
2930,5/6/11,2,0,5,23,0,5,1,1,0.44,0.4394,0.82,0.1343,93,120
2931,5/7/11,2,0,5,0,0,6,0,1,0.42,0.4242,0.82,0.1343,76,86
2932,5/7/11,2,0,5,1,0,6,0,1,0.42,0.4242,0.82,0.1045,50,58
2933,5/7/11,2,0,5,2,0,6,0,1,0.42,0.4242,0.82,0.0896,47,52
2934,5/7/11,2,0,5,3,0,6,0,1,0.42,0.4242,0.77,0.0896,9,18
2935,5/7/11,2,0,5,4,0,6,0,1,0.4,0.4091,0.82,0.1045,4,5
2936,5/7/11,2,0,5,5,0,6,0,1,0.46,0.4545,0.59,0.1343,3,7
2937,5/7/11,2,0,5,6,0,6,0,1,0.42,0.4242,0.77,0.0896,12,13
2938,5/7/11,2,0,5,7,0,6,0,1,0.48,0.4697,0.59,0,32,40
2939,5/7/11,2,0,5,8,0,6,0,1,0.52,0.5,0.52,0.194,96,115
2940,5/7/11,2,0,5,9,0,6,0,1,0.54,0.5152,0.49,0.2836,164,218
2941,5/7/11,2,0,5,10,0,6,0,1,0.56,0.5303,0.49,0.2985,208,298
2942,5/7/11,2,0,5,11,0,6,0,1,0.56,0.5303,0.43,0,215,347
2943,5/7/11,2,0,5,12,0,6,0,1,0.6,0.6212,0.4,0.194,244,373
2944,5/7/11,2,0,5,13,0,6,0,1,0.6,0.6212,0.35,0.2836,240,436
2945,5/7/11,2,0,5,14,0,6,0,3,0.6,0.6212,0.35,0.1642,235,378
2946,5/7/11,2,0,5,15,0,6,0,1,0.6,0.6212,0.38,0.2537,230,378
2947,5/7/11,2,0,5,16,0,6,0,1,0.6,0.6212,0.38,0.194,223,342
2948,5/7/11,2,0,5,17,0,6,0,1,0.58,0.5455,0.4,0.2239,216,354
2949,5/7/11,2,0,5,18,0,6,0,1,0.58,0.5455,0.37,0.1642,175,289
2950,5/7/11,2,0,5,19,0,6,0,1,0.56,0.5303,0.43,0.194,179,267
2951,5/7/11,2,0,5,20,0,6,0,1,0.56,0.5303,0.43,0.1343,137,219
2952,5/7/11,2,0,5,21,0,6,0,1,0.54,0.5152,0.49,0.2239,124,182
2953,5/7/11,2,0,5,22,0,6,0,1,0.54,0.5152,0.49,0.194,94,120
2954,5/7/11,2,0,5,23,0,6,0,1,0.5,0.4848,0.59,0.1045,89,119
2955,5/8/11,2,0,5,0,0,0,0,2,0.5,0.4848,0.59,0.1045,78,100
2956,5/8/11,2,0,5,1,0,0,0,2,0.52,0.5,0.55,0,56,64
2957,5/8/11,2,0,5,2,0,0,0,1,0.48,0.4697,0.63,0,42,59
2958,5/8/11,2,0,5,3,0,0,0,1,0.46,0.4545,0.72,0.0896,21,31
2959,5/8/11,2,0,5,4,0,0,0,1,0.42,0.4242,0.82,0,8,10
2960,5/8/11,2,0,5,5,0,0,0,2,0.44,0.4394,0.77,0,5,5
2961,5/8/11,2,0,5,6,0,0,0,2,0.44,0.4394,0.82,0,4,6
2962,5/8/11,2,0,5,7,0,0,0,2,0.46,0.4545,0.82,0,15,23
2963,5/8/11,2,0,5,8,0,0,0,1,0.52,0.5,0.63,0.1343,58,86
2964,5/8/11,2,0,5,9,0,0,0,1,0.56,0.5303,0.52,0.2239,112,160
2965,5/8/11,2,0,5,10,0,0,0,1,0.58,0.5455,0.49,0.1343,153,244
2966,5/8/11,2,0,5,11,0,0,0,1,0.58,0.5455,0.49,0.0896,198,340
2967,5/8/11,2,0,5,12,0,0,0,1,0.6,0.6212,0.46,0.0896,243,382
2968,5/8/11,2,0,5,13,0,0,0,1,0.6,0.6212,0.49,0.1343,224,390
2969,5/8/11,2,0,5,14,0,0,0,1,0.6,0.6212,0.49,0,240,366
2970,5/8/11,2,0,5,15,0,0,0,1,0.6,0.6212,0.49,0,230,358
2971,5/8/11,2,0,5,16,0,0,0,1,0.6,0.6212,0.46,0.1045,263,385
2972,5/8/11,2,0,5,17,0,0,0,3,0.58,0.5455,0.49,0.2836,245,351
2973,5/8/11,2,0,5,18,0,0,0,1,0.58,0.5455,0.49,0,205,268
2974,5/8/11,2,0,5,19,0,0,0,1,0.56,0.5303,0.64,0,178,239
2975,5/8/11,2,0,5,20,0,0,0,1,0.52,0.5,0.77,0.1343,132,174
2976,5/8/11,2,0,5,21,0,0,0,1,0.52,0.5,0.77,0.0896,95,127
2977,5/8/11,2,0,5,22,0,0,0,1,0.5,0.4848,0.88,0.0896,86,115
2978,5/8/11,2,0,5,23,0,0,0,1,0.46,0.4545,0.88,0.0896,41,50
2979,5/9/11,2,0,5,0,0,1,1,1,0.46,0.4545,0.82,0.0896,22,53
2980,5/9/11,2,0,5,1,0,1,1,1,0.44,0.4394,0.88,0,8,33
2981,5/9/11,2,0,5,2,0,1,1,1,0.44,0.4394,0.94,0,2,8
2982,5/9/11,2,0,5,3,0,1,1,1,0.46,0.4545,0.82,0.0896,7,7
2983,5/9/11,2,0,5,4,0,1,1,1,0.42,0.4242,0.82,0.1642,4,4
2984,5/9/11,2,0,5,5,0,1,1,1,0.42,0.4242,0.77,0.1642,23,23
2985,5/9/11,2,0,5,6,0,1,1,1,0.44,0.4394,0.72,0.2537,87,89
2986,5/9/11,2,0,5,7,0,1,1,1,0.48,0.4697,0.63,0.2537,221,237
2987,5/9/11,2,0,5,8,0,1,1,1,0.52,0.5,0.55,0.2239,351,374
2988,5/9/11,2,0,5,9,0,1,1,1,0.54,0.5152,0.56,0.1642,142,178
2989,5/9/11,2,0,5,10,0,1,1,1,0.56,0.5303,0.52,0.194,95,119
2990,5/9/11,2,0,5,11,0,1,1,1,0.6,0.6212,0.46,0.2239,99,125
2991,5/9/11,2,0,5,12,0,1,1,1,0.6,0.6212,0.43,0.194,160,195
2992,5/9/11,2,0,5,13,0,1,1,1,0.62,0.6212,0.38,0.2836,138,174
2993,5/9/11,2,0,5,14,0,1,1,1,0.62,0.6212,0.41,0.2239,118,162
2994,5/9/11,2,0,5,15,0,1,1,1,0.62,0.6212,0.41,0.2239,148,199
2995,5/9/11,2,0,5,16,0,1,1,1,0.64,0.6212,0.38,0.2239,255,304
2996,5/9/11,2,0,5,17,0,1,1,1,0.62,0.6212,0.38,0.2537,539,598
2997,5/9/11,2,0,5,18,0,1,1,1,0.62,0.6212,0.38,0.2985,458,524
2998,5/9/11,2,0,5,19,0,1,1,1,0.58,0.5455,0.43,0.194,339,384
2999,5/9/11,2,0,5,20,0,1,1,1,0.54,0.5152,0.49,0.194,214,239
3000,5/9/11,2,0,5,21,0,1,1,1,0.52,0.5,0.59,0.1343,128,156
3001,5/9/11,2,0,5,22,0,1,1,1,0.52,0.5,0.68,0.0896,95,116
3002,5/9/11,2,0,5,23,0,1,1,1,0.5,0.4848,0.68,0.0896,45,61
3003,5/10/11,2,0,5,0,0,2,1,1,0.48,0.4697,0.63,0,12,18
3004,5/10/11,2,0,5,1,0,2,1,1,0.46,0.4545,0.59,0.0896,12,15
3005,5/10/11,2,0,5,2,0,2,1,1,0.44,0.4394,0.58,0.1343,4,5
3006,5/10/11,2,0,5,3,0,2,1,1,0.44,0.4394,0.54,0.194,3,4
3007,5/10/11,2,0,5,4,0,2,1,1,0.42,0.4242,0.62,0.2537,2,2
3008,5/10/11,2,0,5,5,0,2,1,1,0.4,0.4091,0.66,0.2239,28,29
3009,5/10/11,2,0,5,6,0,2,1,1,0.42,0.4242,0.67,0.1343,103,112
3010,5/10/11,2,0,5,7,0,2,1,2,0.44,0.4394,0.62,0.1343,301,314
3011,5/10/11,2,0,5,8,0,2,1,2,0.5,0.4848,0.51,0.1045,397,425
3012,5/10/11,2,0,5,9,0,2,1,2,0.52,0.5,0.48,0.1045,176,205
3013,5/10/11,2,0,5,10,0,2,1,2,0.56,0.5303,0.37,0.0896,100,127
3014,5/10/11,2,0,5,11,0,2,1,2,0.56,0.5303,0.43,0.1343,108,125
3015,5/10/11,2,0,5,12,0,2,1,2,0.6,0.6212,0.38,0,170,217
3016,5/10/11,2,0,5,13,0,2,1,2,0.62,0.6212,0.38,0.2537,152,202
3017,5/10/11,2,0,5,14,0,2,1,2,0.62,0.6212,0.33,0,134,176
3018,5/10/11,2,0,5,15,0,2,1,2,0.64,0.6212,0.33,0.0896,152,180
3019,5/10/11,2,0,5,16,0,2,1,1,0.66,0.6212,0.31,0.1045,271,327
3020,5/10/11,2,0,5,17,0,2,1,1,0.64,0.6212,0.33,0,532,611
3021,5/10/11,2,0,5,18,0,2,1,1,0.64,0.6212,0.29,0.1343,480,550
3022,5/10/11,2,0,5,19,0,2,1,1,0.6,0.6212,0.43,0.2239,365,434
3023,5/10/11,2,0,5,20,0,2,1,1,0.54,0.5152,0.6,0.1343,241,291
3024,5/10/11,2,0,5,21,0,2,1,1,0.54,0.5152,0.52,0,173,203
3025,5/10/11,2,0,5,22,0,2,1,1,0.52,0.5,0.55,0.1045,121,150
3026,5/10/11,2,0,5,23,0,2,1,2,0.52,0.5,0.59,0.1343,72,81
3027,5/11/11,2,0,5,0,0,3,1,2,0.52,0.5,0.55,0.1343,30,38
3028,5/11/11,2,0,5,1,0,3,1,2,0.5,0.4848,0.59,0.1045,16,20
3029,5/11/11,2,0,5,2,0,3,1,1,0.52,0.5,0.59,0,4,10
3030,5/11/11,2,0,5,3,0,3,1,1,0.5,0.4848,0.63,0.2239,3,3
3031,5/11/11,2,0,5,4,0,3,1,2,0.48,0.4697,0.88,0.1343,2,2
3032,5/11/11,2,0,5,5,0,3,1,1,0.46,0.4545,0.88,0.1343,20,20
3033,5/11/11,2,0,5,6,0,3,1,1,0.46,0.4545,0.82,0.1343,93,99
3034,5/11/11,2,0,5,7,0,3,1,1,0.48,0.4697,0.72,0.194,293,318
3035,5/11/11,2,0,5,8,0,3,1,1,0.48,0.4697,0.77,0.2537,421,442
3036,5/11/11,2,0,5,9,0,3,1,1,0.52,0.5,0.72,0.1343,182,203
3037,5/11/11,2,0,5,10,0,3,1,1,0.54,0.5152,0.68,0.0896,124,154
3038,5/11/11,2,0,5,11,0,3,1,1,0.56,0.5303,0.64,0.0896,123,141
3039,5/11/11,2,0,5,12,0,3,1,1,0.6,0.6212,0.56,0,185,226
3040,5/11/11,2,0,5,13,0,3,1,1,0.62,0.6212,0.5,0,157,193
3041,5/11/11,2,0,5,14,0,3,1,1,0.62,0.6212,0.53,0.0896,141,177
3042,5/11/11,2,0,5,15,0,3,1,1,0.64,0.6212,0.41,0,131,179
3043,5/11/11,2,0,5,16,0,3,1,1,0.66,0.6212,0.39,0,240,289
3044,5/11/11,2,0,5,17,0,3,1,1,0.64,0.6212,0.47,0.1045,242,259
3045,5/11/11,2,0,5,18,0,3,1,1,0.62,0.6212,0.5,0.2985,234,274
3046,5/11/11,2,0,5,19,0,3,1,1,0.56,0.5303,0.52,0.1343,341,401
3047,5/11/11,2,0,5,20,0,3,1,1,0.54,0.5152,0.64,0.1343,245,273
3048,5/11/11,2,0,5,21,0,3,1,1,0.54,0.5152,0.6,0,202,234
3049,5/11/11,2,0,5,22,0,3,1,1,0.5,0.4848,0.72,0.2537,134,146
3050,5/11/11,2,0,5,23,0,3,1,1,0.46,0.4545,0.88,0.2537,69,81
3051,5/12/11,2,0,5,0,0,4,1,2,0.46,0.4545,0.88,0.2239,39,44
3052,5/12/11,2,0,5,1,0,4,1,1,0.46,0.4545,0.88,0.2239,16,17
3053,5/12/11,2,0,5,2,0,4,1,1,0.44,0.4394,0.94,0.194,14,15
3054,5/12/11,2,0,5,3,0,4,1,1,0.44,0.4394,0.88,0.1343,5,5
3055,5/12/11,2,0,5,4,0,4,1,1,0.42,0.4242,0.94,0,5,6
3056,5/12/11,2,0,5,5,0,4,1,1,0.42,0.4242,0.94,0.1343,27,29
3057,5/12/11,2,0,5,6,0,4,1,1,0.44,0.4394,0.88,0,103,112
3058,5/12/11,2,0,5,7,0,4,1,1,0.46,0.4545,0.88,0.1343,283,297
3059,5/12/11,2,0,5,8,0,4,1,1,0.48,0.4697,0.82,0.194,394,421
3060,5/12/11,2,0,5,9,0,4,1,2,0.5,0.4848,0.77,0.2836,191,212
3061,5/12/11,2,0,5,10,0,4,1,2,0.54,0.5152,0.68,0.2239,119,147
3062,5/12/11,2,0,5,11,0,4,1,1,0.58,0.5455,0.6,0.2239,136,179
3063,5/12/11,2,0,5,12,0,4,1,1,0.58,0.5455,0.6,0.2239,164,207
3064,5/12/11,2,0,5,13,0,4,1,2,0.62,0.6212,0.57,0.2985,170,218
3065,5/12/11,2,0,5,14,0,4,1,2,0.62,0.6061,0.61,0.2239,148,191
3066,5/12/11,2,0,5,15,0,4,1,2,0.64,0.6212,0.53,0.2537,163,217
3067,5/12/11,2,0,5,16,0,4,1,2,0.64,0.6212,0.57,0.2537,238,288
3068,5/12/11,2,0,5,17,0,4,1,2,0.64,0.6212,0.57,0.194,540,594
3069,5/12/11,2,0,5,18,0,4,1,1,0.62,0.6061,0.69,0.2239,463,527
3070,5/12/11,2,0,5,19,0,4,1,2,0.6,0.6061,0.64,0.194,305,364
3071,5/12/11,2,0,5,20,0,4,1,1,0.6,0.6061,0.64,0.194,220,276
3072,5/12/11,2,0,5,21,0,4,1,1,0.56,0.5303,0.83,0.1343,192,223
3073,5/12/11,2,0,5,22,0,4,1,1,0.54,0.5152,0.83,0.194,147,172
3074,5/12/11,2,0,5,23,0,4,1,2,0.54,0.5152,0.77,0.194,87,103
3075,5/13/11,2,0,5,0,0,5,1,2,0.52,0.5,0.83,0.1642,46,52
3076,5/13/11,2,0,5,1,0,5,1,1,0.52,0.5,0.83,0.1642,15,20
3077,5/13/11,2,0,5,2,0,5,1,2,0.5,0.4848,0.88,0.1343,8,11
3078,5/13/11,2,0,5,3,0,5,1,2,0.5,0.4848,0.88,0.1343,2,4
3079,5/13/11,2,0,5,4,0,5,1,3,0.5,0.4848,0.88,0.1642,3,5
3080,5/13/11,2,0,5,5,0,5,1,2,0.5,0.4848,0.88,0.194,24,25
3081,5/13/11,2,0,5,6,0,5,1,3,0.5,0.4848,0.88,0.1343,76,82
3082,5/13/11,2,0,5,7,0,5,1,3,0.5,0.4848,0.88,0.1642,141,157
3083,5/13/11,2,0,5,8,0,5,1,2,0.5,0.4848,0.88,0.194,361,387
3084,5/13/11,2,0,5,9,0,5,1,2,0.5,0.4848,0.88,0.194,215,233
3085,5/13/11,2,0,5,10,0,5,1,2,0.52,0.5,0.83,0.1343,99,130
3086,5/13/11,2,0,5,11,0,5,1,2,0.52,0.5,0.83,0.1642,90,146
3087,5/13/11,2,0,5,12,0,5,1,2,0.52,0.5,0.88,0.194,170,223
3088,5/13/11,2,0,5,13,0,5,1,2,0.52,0.5,0.88,0.3881,157,226
3089,5/13/11,2,0,5,14,0,5,1,2,0.52,0.5,0.87,0.2836,120,190
3090,5/13/11,2,0,5,15,0,5,1,2,0.52,0.5,0.88,0.1642,142,198
3091,5/13/11,2,0,5,16,0,5,1,2,0.52,0.5,0.88,0.1343,256,300
3092,5/13/11,2,0,5,17,0,5,1,3,0.52,0.5,0.88,0.1642,429,491
3093,5/13/11,2,0,5,18,0,5,1,3,0.52,0.5,0.88,0.1642,359,398
3094,5/13/11,2,0,5,19,0,5,1,2,0.52,0.5,0.83,0.194,245,270
3095,5/13/11,2,0,5,20,0,5,1,2,0.52,0.5,0.83,0.1343,130,152
3096,5/13/11,2,0,5,21,0,5,1,2,0.52,0.5,0.84,0.1642,130,154
3097,5/13/11,2,0,5,22,0,5,1,2,0.52,0.5,0.83,0.2239,107,132
3098,5/13/11,2,0,5,23,0,5,1,3,0.5,0.4848,0.88,0.1642,88,119
3099,5/14/11,2,0,5,0,0,6,0,2,0.5,0.4848,0.88,0.1343,78,102
3100,5/14/11,2,0,5,1,0,6,0,2,0.5,0.4848,0.88,0.1343,64,82
3101,5/14/11,2,0,5,2,0,6,0,2,0.5,0.4848,0.88,0.1343,37,52
3102,5/14/11,2,0,5,3,0,6,0,2,0.5,0.4848,0.88,0.1343,30,35
3103,5/14/11,2,0,5,4,0,6,0,2,0.5,0.4848,0.82,0.1642,4,5
3104,5/14/11,2,0,5,5,0,6,0,2,0.5,0.4848,0.82,0.1045,7,14
3105,5/14/11,2,0,5,6,0,6,0,2,0.5,0.4848,0.88,0.1045,9,11
3106,5/14/11,2,0,5,7,0,6,0,3,0.48,0.4697,1,0,28,32
3107,5/14/11,2,0,5,8,0,6,0,3,0.5,0.4848,0.94,0,72,88
3108,5/14/11,2,0,5,9,0,6,0,2,0.52,0.5,0.94,0.0896,86,100
3109,5/14/11,2,0,5,10,0,6,0,2,0.52,0.5,0.94,0.1642,133,167
3110,5/14/11,2,0,5,11,0,6,0,2,0.52,0.5,0.94,0.1343,207,279
3111,5/14/11,2,0,5,12,0,6,0,3,0.52,0.5,1,0.0896,204,279
3112,5/14/11,2,0,5,13,0,6,0,3,0.52,0.5,1,0.0896,180,248
3113,5/14/11,2,0,5,14,0,6,0,2,0.54,0.5152,0.94,0.1343,159,216
3114,5/14/11,2,0,5,15,0,6,0,2,0.54,0.5152,0.94,0.1642,221,294
3115,5/14/11,2,0,5,16,0,6,0,2,0.54,0.5152,0.94,0.194,188,295
3116,5/14/11,2,0,5,17,0,6,0,2,0.56,0.5303,0.88,0.194,194,272
3117,5/14/11,2,0,5,18,0,6,0,2,0.56,0.5303,0.88,0.2239,216,304
3118,5/14/11,2,0,5,19,0,6,0,3,0.54,0.5152,0.94,0.1343,179,248
3119,5/14/11,2,0,5,20,0,6,0,3,0.54,0.5152,0.94,0.1343,115,157
3120,5/14/11,2,0,5,21,0,6,0,3,0.54,0.5152,0.94,0.2239,44,59
3121,5/14/11,2,0,5,22,0,6,0,3,0.54,0.5152,0.94,0.1642,19,26
3122,5/14/11,2,0,5,23,0,6,0,3,0.52,0.5,1,0.194,33,44
3123,5/15/11,2,0,5,0,0,0,0,2,0.52,0.5,1,0,34,39
3124,5/15/11,2,0,5,1,0,0,0,2,0.52,0.5,1,0.1045,43,47
3125,5/15/11,2,0,5,2,0,0,0,2,0.52,0.5,1,0.1343,37,50
3126,5/15/11,2,0,5,3,0,0,0,2,0.52,0.5,1,0,21,32
3127,5/15/11,2,0,5,4,0,0,0,2,0.52,0.5,1,0,8,13
3128,5/15/11,2,0,5,5,0,0,0,3,0.52,0.5,1,0.1045,11,14
3129,5/15/11,2,0,5,6,0,0,0,2,0.52,0.5,1,0.1343,14,17
3130,5/15/11,2,0,5,7,0,0,0,2,0.52,0.5,1,0.1343,38,42
3131,5/15/11,2,0,5,8,0,0,0,2,0.54,0.5152,0.94,0.1343,46,70
3132,5/15/11,2,0,5,9,0,0,0,1,0.58,0.5455,0.83,0.2537,98,134
3133,5/15/11,2,0,5,10,0,0,0,1,0.58,0.5455,0.83,0.2239,153,226
3134,5/15/11,2,0,5,11,0,0,0,1,0.6,0.5758,0.78,0.2239,202,322
3135,5/15/11,2,0,5,12,0,0,0,1,0.62,0.5909,0.73,0.2985,247,367
3136,5/15/11,2,0,5,13,0,0,0,1,0.62,0.5909,0.73,0.2836,261,456
3137,5/15/11,2,0,5,14,0,0,0,1,0.64,0.6061,0.73,0.194,254,437
3138,5/15/11,2,0,5,15,0,0,0,1,0.66,0.6212,0.69,0.2537,253,459
3139,5/15/11,2,0,5,16,0,0,0,1,0.64,0.6061,0.69,0.2537,282,440
3140,5/15/11,2,0,5,17,0,0,0,3,0.56,0.5303,0.78,0.3582,255,392
3141,5/15/11,2,0,5,18,0,0,0,1,0.56,0.5303,0.78,0.2537,177,237
3142,5/15/11,2,0,5,19,0,0,0,1,0.56,0.5303,0.83,0.1045,153,231
3143,5/15/11,2,0,5,20,0,0,0,1,0.54,0.5152,0.88,0,138,191
3144,5/15/11,2,0,5,21,0,0,0,1,0.54,0.5152,0.88,0,107,151
3145,5/15/11,2,0,5,22,0,0,0,1,0.56,0.5303,0.83,0,88,117
3146,5/15/11,2,0,5,23,0,0,0,1,0.54,0.5152,0.88,0.2239,51,69
3147,5/16/11,2,0,5,0,0,1,1,1,0.52,0.5,0.94,0.1045,21,38
3148,5/16/11,2,0,5,1,0,1,1,1,0.52,0.5,0.94,0.1343,8,14
3149,5/16/11,2,0,5,2,0,1,1,1,0.5,0.4848,1,0.0896,9,13
3150,5/16/11,2,0,5,3,0,1,1,1,0.5,0.4848,0.94,0.1642,3,4
3151,5/16/11,2,0,5,4,0,1,1,1,0.5,0.4848,1,0.1343,5,6
3152,5/16/11,2,0,5,5,0,1,1,1,0.5,0.4848,0.93,0.194,20,21
3153,5/16/11,2,0,5,6,0,1,1,1,0.52,0.5,0.88,0.1642,93,104
3154,5/16/11,2,0,5,7,0,1,1,1,0.52,0.5,0.83,0.2836,245,272
3155,5/16/11,2,0,5,8,0,1,1,1,0.56,0.5303,0.73,0.2985,366,394
3156,5/16/11,2,0,5,9,0,1,1,1,0.6,0.5909,0.69,0.194,156,194
3157,5/16/11,2,0,5,10,0,1,1,1,0.62,0.6061,0.65,0.0896,75,112
3158,5/16/11,2,0,5,11,0,1,1,1,0.64,0.6212,0.57,0,129,185
3159,5/16/11,2,0,5,12,0,1,1,1,0.66,0.6212,0.54,0.0896,137,209
3160,5/16/11,2,0,5,13,0,1,1,1,0.68,0.6364,0.51,0,153,214
3161,5/16/11,2,0,5,14,0,1,1,1,0.68,0.6364,0.51,0,117,193
3162,5/16/11,2,0,5,15,0,1,1,1,0.72,0.6667,0.51,0,110,165
3163,5/16/11,2,0,5,16,0,1,1,3,0.6,0.5758,0.78,0.2537,181,226
3164,5/16/11,2,0,5,17,0,1,1,1,0.58,0.5455,0.88,0.2239,227,274
3165,5/16/11,2,0,5,18,0,1,1,3,0.58,0.5455,0.83,0.194,398,453
3166,5/16/11,2,0,5,19,0,1,1,1,0.58,0.5455,0.83,0.2537,272,308
3167,5/16/11,2,0,5,20,0,1,1,1,0.58,0.5455,0.83,0,167,198
3168,5/16/11,2,0,5,21,0,1,1,1,0.58,0.5455,0.83,0,149,177
3169,5/16/11,2,0,5,22,0,1,1,1,0.56,0.5303,0.88,0.0896,105,127
3170,5/16/11,2,0,5,23,0,1,1,1,0.56,0.5303,0.88,0.0896,39,57
3171,5/17/11,2,0,5,0,0,2,1,2,0.56,0.5303,0.88,0,18,31
3172,5/17/11,2,0,5,1,0,2,1,3,0.56,0.5303,0.88,0,6,13
3173,5/17/11,2,0,5,2,0,2,1,3,0.56,0.5303,0.88,0,4,8
3174,5/17/11,2,0,5,3,0,2,1,3,0.54,0.5152,0.94,0.2537,3,4
3175,5/17/11,2,0,5,4,0,2,1,3,0.54,0.5152,0.94,0.2537,2,4
3176,5/17/11,2,0,5,5,0,2,1,3,0.52,0.5,0.94,0.2537,22,22
3177,5/17/11,2,0,5,6,0,2,1,3,0.52,0.5,0.94,0.2537,49,49
3178,5/17/11,2,0,5,7,0,2,1,2,0.52,0.5,0.94,0.2537,138,151
3179,5/17/11,2,0,5,8,0,2,1,2,0.52,0.5,0.94,0.2985,325,347
3180,5/17/11,2,0,5,9,0,2,1,2,0.54,0.5152,0.88,0.2537,190,207
3181,5/17/11,2,0,5,10,0,2,1,3,0.54,0.5152,0.88,0.2537,73,104
3182,5/17/11,2,0,5,11,0,2,1,2,0.56,0.5303,0.83,0.4179,104,130
3183,5/17/11,2,0,5,12,0,2,1,3,0.56,0.5303,0.83,0.4179,115,153
3184,5/17/11,2,0,5,13,0,2,1,2,0.56,0.5303,0.88,0.3284,141,172
3185,5/17/11,2,0,5,14,0,2,1,1,0.62,0.5909,0.73,0.4627,123,184
3186,5/17/11,2,0,5,15,0,2,1,1,0.62,0.6061,0.69,0.4478,131,210
3187,5/17/11,2,0,5,16,0,2,1,1,0.62,0.6061,0.61,0.3284,217,290
3188,5/17/11,2,0,5,17,0,2,1,1,0.62,0.6061,0.65,0.4179,521,604
3189,5/17/11,2,0,5,18,0,2,1,1,0.6,0.5909,0.69,0.2985,426,480
3190,5/17/11,2,0,5,19,0,2,1,1,0.6,0.5909,0.69,0.2537,298,349
3191,5/17/11,2,0,5,20,0,2,1,1,0.58,0.5455,0.83,0.4179,253,283
3192,5/17/11,2,0,5,21,0,2,1,1,0.54,0.5152,0.88,0.2537,151,174
3193,5/17/11,2,0,5,22,0,2,1,2,0.54,0.5152,0.88,0.2836,86,98
3194,5/17/11,2,0,5,23,0,2,1,2,0.54,0.5152,0.88,0.2537,49,56
3195,5/18/11,2,0,5,0,0,3,1,2,0.54,0.5152,0.88,0.2239,15,23
3196,5/18/11,2,0,5,1,0,3,1,2,0.54,0.5152,0.88,0.2537,9,12
3197,5/18/11,2,0,5,2,0,3,1,3,0.52,0.5,0.94,0.2239,5,6
3198,5/18/11,2,0,5,3,0,3,1,3,0.52,0.5,0.94,0.2985,3,9
3199,5/18/11,2,0,5,4,0,3,1,3,0.52,0.5,0.94,0.2985,2,3
3200,5/18/11,2,0,5,5,0,3,1,1,0.52,0.5,1,0.2239,9,9
3201,5/18/11,2,0,5,6,0,3,1,1,0.52,0.5,1,0.1343,99,101
3202,5/18/11,2,0,5,7,0,3,1,1,0.54,0.5152,0.88,0.194,260,274
3203,5/18/11,2,0,5,8,0,3,1,1,0.56,0.5303,0.88,0.2836,428,453
3204,5/18/11,2,0,5,9,0,3,1,3,0.56,0.5303,0.83,0.2537,176,202
3205,5/18/11,2,0,5,10,0,3,1,3,0.54,0.5152,0.88,0.2836,73,106
3206,5/18/11,2,0,5,11,0,3,1,2,0.54,0.5152,0.94,0.0896,17,23
3207,5/18/11,2,0,5,12,0,3,1,1,0.56,0.5303,0.94,0.2985,42,54
3208,5/18/11,2,0,5,13,0,3,1,2,0.56,0.5303,0.83,0.3284,92,122
3209,5/18/11,2,0,5,14,0,3,1,2,0.58,0.5455,0.78,0.2836,94,138
3210,5/18/11,2,0,5,15,0,3,1,1,0.6,0.5758,0.78,0.2537,133,167
3211,5/18/11,2,0,5,16,0,3,1,1,0.6,0.5909,0.73,0.194,241,294
3212,5/18/11,2,0,5,17,0,3,1,1,0.6,0.5909,0.69,0.1343,487,565
3213,5/18/11,2,0,5,18,0,3,1,1,0.6,0.5909,0.73,0.2239,431,489
3214,5/18/11,2,0,5,19,0,3,1,3,0.56,0.5303,0.88,0.1343,288,331
3215,5/18/11,2,0,5,20,0,3,1,3,0.56,0.5303,0.88,0.1343,189,213
3216,5/18/11,2,0,5,21,0,3,1,1,0.52,0.5,0.88,0,74,85
3217,5/18/11,2,0,5,22,0,3,1,1,0.52,0.5,0.83,0,103,117
3218,5/18/11,2,0,5,23,0,3,1,1,0.52,0.5,0.94,0.0896,49,59
3219,5/19/11,2,0,5,0,0,4,1,1,0.52,0.5,0.94,0.1045,23,29
